dataset,n,scenario,seed,reference_arm,comparison_arm,reference_present,comparison_present,same_raw_sha256,same_canonical_sha256,status
Synthetic,100,transfer_bottleneck,11,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,11,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,11,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,19,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,100,transfer_bottleneck,19,price_off_clean,A_only,1,1,False,False,ok
Synthetic,100,transfer_bottleneck,19,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,19,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,19,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,19,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,19,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,23,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,100,transfer_bottleneck,23,price_off_clean,A_only,1,1,False,False,ok
Synthetic,100,transfer_bottleneck,23,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,23,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,23,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,23,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,23,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,29,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,100,transfer_bottleneck,29,price_off_clean,A_only,1,1,False,False,ok
Synthetic,100,transfer_bottleneck,29,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,29,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,29,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,29,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,29,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,7,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,100,transfer_bottleneck,7,price_off_clean,A_only,1,1,False,False,ok
Synthetic,100,transfer_bottleneck,7,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,7,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,7,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,7,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,100,transfer_bottleneck,7,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,150,nominal,11,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,150,nominal,11,price_off_clean,A_only,1,1,False,False,ok
Synthetic,150,nominal,11,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,150,nominal,11,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,150,nominal,11,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,150,nominal,11,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,150,nominal,11,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,150,nominal,19,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,150,nominal,19,price_off_clean,A_only,1,1,False,False,ok
Synthetic,150,nominal,19,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,150,nominal,19,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,150,nominal,19,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,150,nominal,19,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,150,nominal,19,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,150,nominal,23,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,150,nominal,23,price_off_clean,A_only,1,1,False,False,ok
Synthetic,150,nominal,23,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,150,nominal,23,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,150,nominal,23,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,150,nominal,23,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,150,nominal,23,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,150,nominal,29,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,150,nominal,29,price_off_clean,A_only,1,1,False,False,ok
Synthetic,150,nominal,29,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,150,nominal,29,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,150,nominal,29,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,150,nominal,29,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,150,nominal,29,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,150,nominal,7,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,150,nominal,7,price_off_clean,A_only,1,1,False,False,ok
Synthetic,150,nominal,7,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,150,nominal,7,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,150,nominal,7,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,150,nominal,7,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,150,nominal,7,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,11,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,150,transfer_bottleneck,11,price_off_clean,A_only,1,1,False,False,ok
Synthetic,150,transfer_bottleneck,11,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,11,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,11,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,11,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,11,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,19,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,150,transfer_bottleneck,19,price_off_clean,A_only,1,1,False,False,ok
Synthetic,150,transfer_bottleneck,19,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,19,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,19,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,19,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,19,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,23,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,150,transfer_bottleneck,23,price_off_clean,A_only,1,1,False,False,ok
Synthetic,150,transfer_bottleneck,23,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,23,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,23,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,23,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,23,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,29,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,150,transfer_bottleneck,29,price_off_clean,A_only,1,1,False,False,ok
Synthetic,150,transfer_bottleneck,29,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,29,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,29,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,29,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,29,price_off_clean,AB_w2,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,7,price_off_clean,price_off_clean,1,1,True,True,ok
Synthetic,150,transfer_bottleneck,7,price_off_clean,A_only,1,1,False,False,ok
Synthetic,150,transfer_bottleneck,7,price_off_clean,B_only,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,7,price_off_clean,AB_w0p25,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,7,price_off_clean,AB_w0p5,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,7,price_off_clean,AB_w1,1,0,,,missing_arm
Synthetic,150,transfer_bottleneck,7,price_off_clean,AB_w2,1,0,,,missing_arm
